Date,Unit,Market,Price(INR)
01/01/2021,Kg,Tomato,20.5
02/01/2021,Kg,Tomato,20
03/01/2021,Kg,Tomato,21.5
04/01/2021,Kg,Tomato,21
05/01/2021,Kg,Tomato,20.5
06/01/2021,Kg,Tomato,20
07/01/2021,Kg,Tomato,21
08/01/2021,Kg,Tomato,22
09/01/2021,Kg,Tomato,20
10/01/2021,Kg,Tomato,17.5
11/01/2021,Kg,Tomato,17
12/01/2021,Kg,Tomato,20
13/01/2021,Kg,Tomato,20
14/01/2021,Kg,Tomato,17.5
15/01/2021,Kg,Tomato,17.5
16/01/2021,Kg,Tomato,20
17/01/2021,Kg,Tomato,17.5
18/01/2021,Kg,Tomato,17.5
19/01/2021,Kg,Tomato,17
20/01/2021,Kg,Tomato,17
21/01/2021,Kg,Tomato,17
22/01/2021,Kg,Tomato,17
23/01/2021,Kg,Tomato,17
24/01/2021,Kg,Tomato,17.5
25/01/2021,Kg,Tomato,16
26/01/2021,Kg,Tomato,20
27/01/2021,Kg,Tomato,20.5
28/01/2021,Kg,Tomato,20.5
29/01/2021,Kg,Tomato,16
30/01/2021,Kg,Tomato,17.5
31/01/2021,Kg,Tomato,17.5
01/02/2021,Kg,Tomato,17.5
02/02/2021,Kg,Tomato,16
03/02/2021,Kg,Tomato,17.5
06/02/2021,Kg,Tomato,17.5
07/02/2021,Kg,Tomato,17.5
08/02/2021,Kg,Tomato,17.5
09/02/2021,Kg,Tomato,16
10/02/2021,Kg,Tomato,17.5
11/02/2021,Kg,Tomato,20
12/02/2021,Kg,Tomato,18
13/02/2021,Kg,Tomato,16
14/02/2021,Kg,Tomato,17.5
15/02/2021,Kg,Tomato,17.5
16/02/2021,Kg,Tomato,17.5
17/02/2021,Kg,Tomato,17.5
18/02/2021,Kg,Tomato,17.5
19/02/2021,Kg,Tomato,18.5
20/02/2021,Kg,Tomato,18.5
21/02/2021,Kg,Tomato,16.5
22/02/2021,Kg,Tomato,16.5
23/02/2021,Kg,Tomato,16.5
24/02/2021,Kg,Tomato,17.5
25/02/2021,Kg,Tomato,17.5
26/02/2021,Kg,Tomato,17.5
27/02/2021,Kg,Tomato,17.5
28/02/2021,Kg,Tomato,17.5
01/03/2021,Kg,Tomato,20
02/03/2021,Kg,Tomato,20.5
03/03/2021,Kg,Tomato,16.5
05/03/2021,Kg,Tomato,18.5
06/03/2021,Kg,Tomato,17.5
07/03/2021,Kg,Tomato,17.5
08/03/2021,Kg,Tomato,16.5
09/03/2021,Kg,Tomato,16.5
10/03/2021,Kg,Tomato,20.5
11/03/2021,Kg,Tomato,20.5
12/03/2021,Kg,Tomato,20.5
13/03/2021,Kg,Tomato,17.5
14/03/2021,Kg,Tomato,20.5
15/03/2021,Kg,Tomato,21.5
16/03/2021,Kg,Tomato,21.5
17/03/2021,Kg,Tomato,17.5
18/03/2021,Kg,Tomato,17.5
19/03/2021,Kg,Tomato,21.5
20/03/2021,Kg,Tomato,20.5
21/03/2021,Kg,Tomato,20.5
22/03/2021,Kg,Tomato,21
23/03/2021,Kg,Tomato,21
24/03/2021,Kg,Tomato,21
25/03/2021,Kg,Tomato,19
26/03/2021,Kg,Tomato,19
27/03/2021,Kg,Tomato,21
28/03/2021,Kg,Tomato,21
29/03/2021,Kg,Tomato,20.5
30/03/2021,Kg,Tomato,20.5
31/03/2021,Kg,Tomato,20.5
01/04/2021,Kg,Tomato,19
02/04/2021,Kg,Tomato,19
03/04/2021,Kg,Tomato,20
04/04/2021,Kg,Tomato,20.5
05/04/2021,Kg,Tomato,19
06/04/2021,Kg,Tomato,20.5
07/04/2021,Kg,Tomato,20
08/04/2021,Kg,Tomato,21
09/04/2021,Kg,Tomato,21
10/04/2021,Kg,Tomato,21
11/04/2021,Kg,Tomato,20
12/04/2021,Kg,Tomato,20
13/04/2021,Kg,Tomato,20.5
14/04/2021,Kg,Tomato,20.5
15/04/2021,Kg,Tomato,17.5
16/04/2021,Kg,Tomato,17.5
17/04/2021,Kg,Tomato,18
18/04/2021,Kg,Tomato,17.5
19/04/2021,Kg,Tomato,16.5
20/04/2021,Kg,Tomato,16.5
21/04/2021,Kg,Tomato,17.5
22/04/2021,Kg,Tomato,16.5
23/04/2021,Kg,Tomato,16
24/04/2021,Kg,Tomato,16.5
25/04/2021,Kg,Tomato,17.5
26/04/2021,Kg,Tomato,16.5
27/04/2021,Kg,Tomato,16.5
28/04/2021,Kg,Tomato,17.5
29/04/2021,Kg,Tomato,20
30/04/2021,Kg,Tomato,20.5
01/05/2021,Kg,Tomato,20.5
02/05/2021,Kg,Tomato,20.5
03/05/2021,Kg,Tomato,17.5
04/05/2021,Kg,Tomato,16.5
05/05/2021,Kg,Tomato,16.5
06/05/2021,Kg,Tomato,16.5
07/05/2021,Kg,Tomato,17.5
08/05/2021,Kg,Tomato,16.5
09/05/2021,Kg,Tomato,16.5
10/05/2021,Kg,Tomato,18.5
11/05/2021,Kg,Tomato,17.5
12/05/2021,Kg,Tomato,17.5
13/05/2021,Kg,Tomato,17.5
